Подача;Куда ехать;Важная;В пути;Завершен;Время заказа;Время на заказе;На месте;Отмена;Время подачи;Принят;Время создания;Дата заказа;Деталировка поездки;Детское кресло;Затратный центр;Источник;Категории;Километраж;Количество;Компания;Координаты;Координаты куда;Кост Код;Купон;Купон (%);НДС;#;Опции;Ответственный;Подразделение;Подразделение;Позывной;Показывать номер;Примечание;Принят водителем;Причина отказа;Район;Район куда;Расчёт;Расчёт;СЛИП;Служебная информация;СМС;Создал;Способ оплаты;Статус;Тип;ТС;Цель поездки;ID;old_uuid
Рядом с: Старо-Петергофский проспект;До пункта: проспект Юрия Гагарина, 20к1;;22.02.2018 23:00;22.02.2018 23:20;22.02.2018 22:56;0:19:49;22.02.2018 22:53;;0:01:27;22.02.2018 22:51;22.02.2018 22:51;22.02.2018 22:56;;0;;;1;;0;;30.2778037386,59.9044591794;30.338308,59.858724;;0;0;54,18;9764;0;;;;190178;;;;;;;0;22.02.2018 22:51;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;0b8568065f0e49bdb92449f9f76e084f;
Рядом с: улица Маршала Захарова;До пункта: улица Маршала Захарова;;22.02.2018 22:27;22.02.2018 22:32;22.02.2018 22:26;0:04:56;22.02.2018 22:25;;0:02:28;22.02.2018 22:22;22.02.2018 22:22;22.02.2018 22:26;;0;;;1;;0;;30.2074134553,59.850607915;30.1651947915,59.857827948;;0;0;18,36;9762;0;;;;190178;;;;;;;0;22.02.2018 22:22;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;9d462b058a16404ca5b210d2a0210d82;
Рядом с: улица Савушкина, 124к1;До пункта: поселок Симагино,;;22.02.2018 21:56;22.02.2018 22:31;22.02.2018 21:50;0:35:03;22.02.2018 21:50;;0:04:25;22.02.2018 21:46;22.02.2018 21:45;22.02.2018 21:50;;0;;;4;;0;;30.2063897272,59.9876710729;29.820088,60.274907;;0;0;368,64;9761;4096;;;;215178;;;;;;;0;22.02.2018 21:45;;;;;Наличные;Завершен;Яндекс;BMW 5er;;c5d46025420c4d42b692d1406c06ff5c;
улица Пограничника Гарькавого, 16к3;улица Маршала Захарова, 27к3;;22.02.2018 21:53;22.02.2018 22:03;22.02.2018 21:44;0:10:10;22.02.2018 21:48;;0:09:01;22.02.2018 21:39;22.02.2018 21:39;22.02.2018 21:44;;0;;;1;;0;;30.1487207276,59.8403432306;30.203686,59.84923;;0;0;31,86;9760;0;;;;190178;;;;;;;0;22.02.2018 21:39;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;d2bcd8b250a1424d8461278322abfb0f;
Московский район, муниципальный округ Гагаринское;Московский просп., 191, Золотой песок;;22.02.2018 21:24;22.02.2018 21:38;22.02.2018 21:22;0:13:17;22.02.2018 21:23;;0:08:35;22.02.2018 21:15;22.02.2018 21:15;22.02.2018 21:22;;0;;;4;;0;;30.3482842412,59.8667636149;30.3205,59.853159;;0;0;119,52;9759;0;;;;759178;;;;;;;0;22.02.2018 21:15;;;;;Наличные;Завершен;Яндекс;BMW 5er;;a5dcc015d63045649f6af423a74c6c21;
Рядом с: Краснопутиловская улица;До пункта: улица Тамбасова, 2к2;;22.02.2018 21:17;22.02.2018 21:37;22.02.2018 21:18;0:20:19;22.02.2018 21:17;;0:04:03;22.02.2018 21:13;22.02.2018 21:13;22.02.2018 21:18;;0;;;1;;0;;30.287920164,59.8608979975;30.1590023433,59.8436365835;;0;0;46,8;9758;2048;;;;190178;;;;;;;0;22.02.2018 21:13;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;04cb93dd4b304d609d545cbbbc21da3a;
Рядом с: Гатчина, улица Авиатриссы Зверевой;До пункта: Гатчина, поселок Химози, улица Матвеева, 6;;22.02.2018 21:07;22.02.2018 21:12;22.02.2018 21:08;0:05:54;22.02.2018 21:06;;0:04:17;22.02.2018 21:01;22.02.2018 21:01;22.02.2018 21:08;;0;;;1;;0;;30.0950976998,59.5604369639;30.102366,59.542899;;0;0;25,2;9757;0;;;;544178;;;;;;;0;22.02.2018 21:01;;;;;Наличные;Завершен;Яндекс;Honda Civic;;4deb3138926d453c8b8bbedc94d2666d;
улица Ленсовета, 80;улица Ленсовета, 48;;22.02.2018 20:54;22.02.2018 20:55;22.02.2018 20:54;0:00:33;22.02.2018 20:53;;0:03:35;22.02.2018 20:50;22.02.2018 20:50;22.02.2018 20:54;;0;;;1;;0;;30.3476728,59.8339488;30.3316719843,59.8429340226;;0;0;10,8;9756;0;;;;844178;;;;;;;0;22.02.2018 20:50;;;;;Наличные;Завершен;Яндекс;Hyundai i40;;4edf12260dba46a18e0c6e3c84895299;
Рядом с: проспект Героев;До пункта: проспект Народного Ополчения, 10, SПБ;;22.02.2018 20:48;22.02.2018 21:05;22.02.2018 20:50;0:16:22;22.02.2018 20:48;;0:02:29;22.02.2018 20:46;22.02.2018 20:45;22.02.2018 20:50;;0;;;1;;0;;30.1414097035,59.8574329921;30.281395,59.850198;;0;0;51,3;9755;0;;;;190178;;;;;;;0;22.02.2018 20:45;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;c0482f6bc45a4e998cb406f575f7d5b1;
Витебский проспект, 108;Карпатская улица, 8;;;22.02.2018 20:42;22.02.2018 20:46;20:42:48;;;20:42:32;;22.02.2018 20:42;22.02.2018 20:46;;0;;;1;;0;;30.3761477363,59.8278066672;30.4275309474,59.8402130489;;0;0;0;9754;0;;;;844178;;;;Reject: autocancel;;;0;22.02.2018 20:42;;;;;Наличные;Отменен;Яндекс;Hyundai i40;;9e2bf8ac9490423ea235820b1a8bc3fe;
улица Пионерстроя, 14к1;улица Адмирала Трибуца, 10;;22.02.2018 20:34;22.02.2018 20:42;22.02.2018 20:32;0:08:23;22.02.2018 20:32;;0:05:28;22.02.2018 20:27;22.02.2018 20:26;22.02.2018 20:32;;0;;;1;;0;;30.12930543,59.83890673;30.1485864639,59.8519418788;;0;0;22,68;9753;6144;;;;190178;;;;;;;0;22.02.2018 20:26;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;3274a25c7bcf4a498166c50453e570a1;
Рядом с: проспект Энгельса, 134к1;До пункта: посёлок Мурино, Воронцовский бульвар, 2;;22.02.2018 20:30;22.02.2018 20:49;22.02.2018 20:32;0:19:13;22.02.2018 20:30;;0:03:34;22.02.2018 20:26;22.02.2018 20:26;22.02.2018 20:32;;0;;;1;;0;;30.3296314441,60.0475618444;30.4201945921,60.0510791256;;0;0;54,54;9752;0;;;;857178;;;;;;;0;22.02.2018 20:26;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;bb4155277738476da499a5c0538040dc;
Рядом с: улица Косинова, 14к2;До пункта: улица Чекистов, 44;;22.02.2018 20:04;22.02.2018 20:25;22.02.2018 20:04;0:20:28;22.02.2018 20:02;;0:04:23;22.02.2018 19:58;22.02.2018 19:57;22.02.2018 20:04;;0;;;1;;0;;30.2735472279,59.8958143102;30.142197,59.844646;;0;0;67,68;9751;0;;;;190178;;;;;;;0;22.02.2018 19:57;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;25719ec35a76408bbadada31e3d59324;
Рядом с: жилой комплекс Кантемировский;До пункта: улица Хошимина, 16;;22.02.2018 19:59;22.02.2018 20:25;22.02.2018 19:58;0:26:29;22.02.2018 19:58;;0:08:16;22.02.2018 19:50;22.02.2018 19:50;22.02.2018 19:58;;0;;;1;;0;;30.37601062,59.98826044;30.32486,60.053696;;0;0;90,9;9750;2048;;;;857178;;;;;;;0;22.02.2018 19:50;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;6a111ca8035d417da55eeaa330cbc10a;
Рядом с: Глухая Зеленина улица, 6;До пункта: Ковенский переулок, 5, Сыроварня;;22.02.2018 19:57;22.02.2018 20:15;22.02.2018 19:52;0:18:13;22.02.2018 19:50;;0:02:14;22.02.2018 19:48;22.02.2018 19:48;22.02.2018 19:52;;0;;;4;;0;;30.2830948998,59.9640666917;30.356607,59.937021;;0;0;143,46;9749;2048;;;;759178;;;;;;;0;22.02.2018 19:48;;;;;Безналичные;Завершен;Яндекс.Безналичный;BMW 5er;;b75df6272be84d5d92832be66b08b68f;
Рядом с: улица Маршала Говорова;До пункта: площадь Стачек, 7;;22.02.2018 19:54;22.02.2018 20:00;22.02.2018 19:52;0:05:33;22.02.2018 19:52;;0:05:40;22.02.2018 19:46;22.02.2018 19:46;22.02.2018 19:52;;0;;;1;;0;;30.2894363497,59.899877246;30.2726592061,59.9007613007;;0;0;22,14;9748;0;;;;190178;;;;;;;0;22.02.2018 19:46;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;cd29dd64cf554b5da81c4ada6af68eba;
Рядом с: Кантемировская улица;До пункта: Кушелевская дорога, 7к5;;22.02.2018 19:41;22.02.2018 19:51;22.02.2018 19:40;0:10:09;22.02.2018 19:38;;0:06:13;22.02.2018 19:32;22.02.2018 19:32;22.02.2018 19:40;;0;;;1;;0;;30.344446,59.985207;30.37821,59.98808;;0;0;44,64;9747;2048;;;;857178;;;;;;;0;22.02.2018 19:32;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;bc0acab1609641939c512e2afd923f33;
Рядом с: Гражданский проспект, 36;До пункта: Яхтенный мост;;22.02.2018 19:44;22.02.2018 20:22;22.02.2018 19:40;0:38:19;22.02.2018 19:37;;0:09:58;22.02.2018 19:27;22.02.2018 19:27;22.02.2018 19:40;;0;;;4;;0;;30.3936364928,60.0106976824;30.213442,59.978269;;0;0;175,86;9744;2048;;;;215178;;;;;;;0;22.02.2018 19:27;;;;;Безналичные;Завершен;Яндекс.Безналичный;BMW 5er;;838ffed1554841049ea84d29ee57258b;
Рядом с: Лесной проспект, 4А;До пункта: проспект Маршала Блюхера, 9к2;;;22.02.2018 19:31;22.02.2018 19:40;19:31:54;;;19:31:36;;22.02.2018 19:31;22.02.2018 19:40;;0;;;1;;0;;30.351756597,59.9622712797;30.3753586961,59.9783914226;;0;0;0;9746;2048;;;;857178;;;;Reject: autocancel;;;0;22.02.2018 19:31;;;;;Безналичные;Отменен;Яндекс.Безналичный;Hyundai Solaris;;78ca33606eeb40d3ab4f338709097d79;
Кондратьевский проспект, 15к3;улица Димитрова, 37к1;;;22.02.2018 19:28;22.02.2018 19:34;19:28:46;;;19:28:08;22.02.2018 19:28;22.02.2018 19:28;22.02.2018 19:34;;0;;;1;;0;;30.381966,59.964804;30.415096,59.850934;;0;0;0;9745;0;;;;857178;;;;user;;;0;22.02.2018 19:28;;;;;Наличные;Отменен;Яндекс;Hyundai Solaris;;81cba7af3d4643ac96a34b9fb56ffd59;
Балтийский вокзал;Южная дорога, 15, Карл и Фридрих;;;22.02.2018 19:26;22.02.2018 19:32;19:26:38;;;19:25:46;22.02.2018 19:25;22.02.2018 19:25;22.02.2018 19:32;;0;;;1;;0;;30.298782,59.906765;30.232585,59.969929;;0;0;0;9743;2048;;;;190178;;Нужна бредндировная машина , что бы было видео что такси, иначе не пропустят;;user;;;0;22.02.2018 19:25;;;;;Безналичные;Отменен;Яндекс.Безналичный;Hyundai Solaris;;272bbe7d62354f23894cdc21a9d82e95;
Рядом с: Промышленная улица;До пункта: улица Трефолева, 43;;22.02.2018 19:14;22.02.2018 19:18;22.02.2018 19:14;0:03:57;22.02.2018 19:13;;0:03:18;22.02.2018 19:10;22.02.2018 19:10;22.02.2018 19:14;;0;;;1;;0;;30.2741474146,59.8997239479;30.25419,59.893317;;0;0;23,22;9742;0;;;;190178;;;;;;;0;22.02.2018 19:10;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;a92350618e2046c99a33ecb8597262c7;
Ташкентская улица, 3к3Б;площадь Старого Театра;;22.02.2018 19:06;22.02.2018 19:44;22.02.2018 19:06;0:38:46;22.02.2018 19:02;;0:13:35;22.02.2018 18:48;22.02.2018 18:48;22.02.2018 19:06;;0;;;4;;0;;30.3150534694,59.8921204201;30.275345,59.976747;;0;0;186,66;9740;2048;;;;759178;;;;;;;0;22.02.2018 18:48;;;;;Безналичные;Завершен;Яндекс.Безналичный;BMW 5er;;006b5dd765594a5db7ed6d42c1123187;
набережная Крюкова канала;Старо-Петергофский проспект;;22.02.2018 18:59;22.02.2018 19:07;22.02.2018 18:58;0:08:16;22.02.2018 18:56;;0:02:08;22.02.2018 18:54;22.02.2018 18:54;22.02.2018 18:58;;0;;;1;;0;;30.296026279,59.9246564573;30.2750133833,59.9077401066;;0;0;24,12;9741;0;;;;190178;;;;;;;0;22.02.2018 18:54;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;b2c20f6bbe2e4a21be882ef0e3d4b76c;
Литейный проспект, 26;Финляндский проспект, 1;;22.02.2018 18:51;22.02.2018 19:00;22.02.2018 18:44;0:09:33;22.02.2018 18:44;;0:06:21;22.02.2018 18:38;22.02.2018 18:38;22.02.2018 18:44;;0;;;1;;0;;30.348998,59.941912;30.342081,59.958381;;0;0;34,74;9739;0;;;;857178;;;;;;;0;22.02.2018 18:38;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;fa8ec181dac54f8c8f794978a3011f69;
улица Восстания, 35;шоссе Революции, 84АВ, Музей уличного искусства;;;22.02.2018 18:37;22.02.2018 18:42;18:37:43;;;18:37:23;22.02.2018 18:37;22.02.2018 18:37;22.02.2018 18:42;;0;;;1;;0;;30.360883,59.939077;30.457933,59.963474;;0;0;0;9738;0;;;;857178;;;;user;;;0;22.02.2018 18:37;;;;;Наличные;Отменен;Яндекс;Hyundai Solaris;;9d194ed717ed4a4fa04fc86268f4dc72;
Пискарёвский проспект, 1;улица Руставели, 60;;22.02.2018 18:38;22.02.2018 19:11;22.02.2018 18:40;0:33:49;22.02.2018 18:35;;0:04:26;22.02.2018 18:31;22.02.2018 18:31;22.02.2018 18:40;;0;;;4;;0;;30.4072122893,59.9574021511;30.4276173214,60.0361798661;;0;0;180,18;9737;2048;;;;215178;;;;;;;0;22.02.2018 18:31;;;;;Безналичные;Завершен;Яндекс.Безналичный;BMW 5er;;78d0b5ae35ff4958a7adf4e327a3d7fb;
Рядом с: Глухая Зеленина улица, 6;До пункта: Театральная площадь, 1;;22.02.2018 18:25;22.02.2018 18:44;22.02.2018 18:26;0:19:05;22.02.2018 18:24;;0:02:51;22.02.2018 18:21;22.02.2018 18:21;22.02.2018 18:26;;0;;;1;;0;;30.2827951012,59.9641501772;30.29624,59.925728;;0;0;61,2;9735;0;;;;190178;;;;;;;0;22.02.2018 18:21;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;828272dd3fd34f8fa661a973ff9e5490;
Тульская улица, 3А;улица Восстания, 22, Индийские специи;;22.02.2018 18:27;22.02.2018 18:36;22.02.2018 18:26;0:08:31;22.02.2018 18:26;;0:05:09;22.02.2018 18:21;22.02.2018 18:21;22.02.2018 18:26;;0;;;1;;0;;30.389268824,59.9436892139;30.360065,59.938076;;0;0;30,96;9736;0;;;;857178;;;;;;;0;22.02.2018 18:21;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;446820a44a1b488ba5b446d98ee40d4f;
Суворовский проспект, 38;Суворовский проспект;;22.02.2018 17:57;22.02.2018 18:21;22.02.2018 17:58;0:23:25;22.02.2018 17:52;;0:01:23;22.02.2018 17:51;22.02.2018 17:51;22.02.2018 17:58;;0;;;1;;0;;30.3798299522,59.9411775388;30.37725,59.939586;;0;0;53,82;9734;0;;;;857178;;;;;;;0;22.02.2018 17:51;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;8612cdeaa2da42ec8f71199d1a185805;
Литейный проспект, 22;Большая Зеленина улица, 44/6;;22.02.2018 17:31;22.02.2018 18:05;22.02.2018 17:32;0:33:35;22.02.2018 17:31;;0:04:23;22.02.2018 17:27;22.02.2018 17:26;22.02.2018 17:32;;0;;;1;;0;;30.3489628193,59.9431813854;30.2815975092,59.9661943151;;0;0;55,44;9733;2048;;;;190178;;;;;;;0;22.02.2018 17:26;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;7396041cdbd64661839aea72af641833;
Почтамтская улица, 3-5;Корпусная улица, 9;;;22.02.2018 17:09;22.02.2018 17:20;17:09:42;;;17:09:26;;22.02.2018 17:09;22.02.2018 17:20;;0;;;1;;0;;30.3034404979,59.9325921366;30.2875855949,59.9628962145;;0;0;0;9731;2048;;;;857178;;;;Reject: autocancel;;;0;22.02.2018 17:09;;;;;Безналичные;Отменен;Яндекс.Безналичный;Hyundai Solaris;;df48eb0e868f45f8b0b4b90920a415f8;
Рядом с: Тифлисская улица;Суворовский проспект, 61;;22.02.2018 17:17;22.02.2018 17:50;22.02.2018 17:16;0:32:59;22.02.2018 17:13;;0:03:42;22.02.2018 17:10;22.02.2018 17:10;22.02.2018 17:16;;0;;;1;;0;;30.3002459758,59.9450916498;30.3814,59.941524;;0;0;84,24;9732;2048;;;;857178;;;;;;;0;22.02.2018 17:10;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;839b20ec7abe4898ba7805f9517745bc;
Рядом с: Барочная улица, 12;До пункта: улица Пестеля, 8/36;;22.02.2018 16:58;22.02.2018 17:27;22.02.2018 17:00;0:28:46;22.02.2018 16:56;;0:01:53;22.02.2018 16:55;22.02.2018 16:55;22.02.2018 17:00;;0;;;1;;0;;30.2881273626,59.9689046464;30.344183,59.942836;;0;0;66,96;9730;0;;;;190178;;;;;;;0;22.02.2018 16:55;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;c33ccc30659c41119b3b42ef9c3f95eb;
Рядом с: Лиговский проспект, 30;До пункта: Университетская наб., 3, Музей антропологии и этнографии имени Петра Великого Кунсткамера РАН;;22.02.2018 16:49;22.02.2018 17:10;22.02.2018 16:50;0:21:24;22.02.2018 16:49;;0:03:31;22.02.2018 16:45;22.02.2018 16:45;22.02.2018 16:50;;0;;;1;;0;;30.3615832893,59.9281188205;30.303999,59.941338;;0;0;41,4;9729;0;;;;857178;;;;;;;0;22.02.2018 16:45;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;256857884348461a92aa24def92e133a;
Рядом с: улица Красного Курсанта, 18;До пункта: ул. Грота, 1/3, Отдел УФМС России по Санкт-Петербургу и Ленинградской области в Петроградском районе;;22.02.2018 16:38;22.02.2018 16:51;22.02.2018 16:40;0:12:59;22.02.2018 16:38;;0:03:29;22.02.2018 16:35;22.02.2018 16:35;22.02.2018 16:40;;0;;;1;;0;;30.2842195325,59.958288962;30.292407,59.972671;;0;0;23,58;9728;0;;;;190178;;;;;;;0;22.02.2018 16:35;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;753e65e9b44d498dada92502cb7804f2;
Рядом с: Невский проспект, 125к2;До пункта: Лиговский проспект, 30;;22.02.2018 16:30;22.02.2018 16:46;22.02.2018 16:32;0:15:58;22.02.2018 16:30;;0:02:27;22.02.2018 16:27;22.02.2018 16:27;22.02.2018 16:32;;0;;;1;;0;;30.3745338842,59.927066117;30.360451,59.927504;;0;0;25,2;9727;0;;;;857178;;;;;;;0;22.02.2018 16:27;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;56372d5ab27f40c9b85b0a272bb39680;
Лиговский проспект, 30;набережная канала Грибоедова, 2Б, литер А, Храм Воскресения Христова Спас на крови;;;22.02.2018 16:27;22.02.2018 16:30;16:27:32;;;16:25:07;22.02.2018 16:25;22.02.2018 16:25;22.02.2018 16:30;;0;;;1;;0;;30.3606889572,59.9283888118;30.32863,59.94009;;0;0;0;9726;0;;;;857178;;;;Reject: manual;;;0;22.02.2018 16:25;;;;;Наличные;Отменен;Яндекс;Hyundai Solaris;;24b05fb0e26d4a569529fc198fad45c4;
улица Профессора Попова;Большой проспект Петроградской стороны, 30;;22.02.2018 16:13;22.02.2018 16:24;22.02.2018 16:16;0:10:32;22.02.2018 16:13;;0:01:03;22.02.2018 16:12;22.02.2018 16:12;22.02.2018 16:16;;0;;;1;;0;;30.2982582315,59.9713008369;30.29774,59.95725;;0;0;34,56;9725;2048;;;;190178;;;;;;;0;22.02.2018 16:12;;;;;Безналичные;Завершен;Яндекс.Безналичный;Hyundai Solaris;;22ffc6ed844049948bc04b8a43f00d6a;
набережная Обводного канала, 24Д;Аптекарская набережная, 8, БЦ Лукойл;;;22.02.2018 16:03;22.02.2018 16:12;16:03:34;;;16:02:54;;22.02.2018 16:02;22.02.2018 16:12;;0;;;4;;0;;30.3772999604,59.9145994076;30.326495,59.973789;;0;0;0;9724;0;;;;805178;;;;offertimeout;;;0;22.02.2018 16:02;;;;;Наличные;Отменен;Яндекс;BMW 5er;;891824a38e234ba98dec6fe335199bea;
Каменноостровский проспект, 31-33;улица Профессора Попова, 38;;22.02.2018 16:04;22.02.2018 16:12;22.02.2018 16:02;0:07:22;22.02.2018 16:04;;0:06:18;22.02.2018 15:57;22.02.2018 15:57;22.02.2018 16:02;;0;;;1;;0;;30.3124431567,59.9649940685;30.299198,59.971226;;0;0;24,3;9723;0;;;;190178;;;;;;;0;22.02.2018 15:57;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;db967b19842d4ab49cf1ea81dd54166c;
Ташкентская улица, 3к3Б;Московский вокзал;;22.02.2018 16:00;22.02.2018 16:24;22.02.2018 16:00;0:23:37;22.02.2018 15:58;;0:04:00;22.02.2018 15:54;22.02.2018 15:54;22.02.2018 16:00;;0;;;1;;0;;30.3150534881,59.8921202252;30.362033,59.929912;;0;0;58,14;9722;0;;;;857178;;у подьезда;;;;;0;22.02.2018 15:54;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;6711dac7470c4de1aeed8b9fc5eb5c15;
Троицкий проспект, 6;Московский проспект, 73;;22.02.2018 15:39;22.02.2018 15:53;22.02.2018 15:40;0:13:56;22.02.2018 15:36;;0:07:54;22.02.2018 15:29;22.02.2018 15:28;22.02.2018 15:40;;0;;;1;;0;;30.302159402,59.9158328409;30.317889,59.904983;;0;0;28,62;9721;0;;;;857178;;;;;;;0;22.02.2018 15:28;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;c7fa965337d24beb8c8e477d4a9e9e84;
